t0_sec,t0_nsec,pps_sec,pps_nsec,t_pps
1494288558,36310427,1494288934,22144427, 375.9858398438
1494288558,36310427,1494288935,22182427, 376.9858703613
1494288558,36310427,1494288936,22222427, 377.9859008789
1494288558,36310427,1494288937,22259427, 378.9859619141
1494288558,36310427,1494288938,22290427, 379.9859924316
1494288558,36310427,1494288939,22332427, 380.9860229492
1494288558,36310427,1494288940,22364427, 381.9860534668
1494288558,36310427,1494288941,22406427, 382.9860839844
1494288558,36310427,1494288942,22440427, 383.9861450195
1494288558,36310427,1494288943,22473427, 384.9861755371
1494288558,36310427,1494288944,22514427, 385.9862060547
1494288558,36310427,1494288945,22550427, 386.9862365723
1494288558,36310427,1494288946,22588427, 387.9862670898
1494288558,36310427,1494288947,22623427, 388.9863281250
1494288558,36310427,1494288948,22656427, 389.9863586426
1494288558,36310427,1494288949,22698427, 390.9863891602
1494288558,36310427,1494288950,22728427, 391.9864196777
1494288558,36310427,1494288951,22762427, 392.9864501953
1494288558,36310427,1494288952,22807427, 393.9865112305
1494288558,36310427,1494288953,22839427, 394.9865417480
1494288558,36310427,1494288954,22880427, 395.9865722656
1494288558,36310427,1494288955,22917427, 396.9866027832
1494288558,36310427,1494288956,22949427, 397.9866333008
1494288558,36310427,1494288957,22984427, 398.9866638184
1494288558,36310427,1494288958,23025427, 399.9867248535
1494288558,36310427,1494288959,23059427, 400.9867553711
1494288558,36310427,1494288960,23095427, 401.9867858887
1494288558,36310427,1494288961,23136427, 402.9868164062
1494288558,36310427,1494288962,23166427, 403.9868469238
1494288558,36310427,1494288963,23203427, 404.9869079590
1494288558,36310427,1494288964,23247427, 405.9869384766
1494288558,36310427,1494288965,23277427, 406.9869689941
1494288558,36310427,1494288966,23312427, 407.9869995117
1494288558,36310427,1494288967,23355427, 408.9870300293
1494288558,36310427,1494288968,23386427, 409.9870910645
1494288558,36310427,1494288969,23428427, 410.9871215820
1494288558,36310427,1494288970,23464427, 411.9871520996
1494288558,36310427,1494288971,23500427, 412.9871826172
1494288558,36310427,1494288972,23534427, 413.9872131348
1494288558,36310427,1494288973,23576427, 414.9872741699
1494288558,36310427,1494288974,23618427, 415.9873046875
1494288558,36310427,1494288975,23662427, 416.9873657227
1494288558,36310427,1494288976,23679427, 417.9873657227
1494288558,36310427,1494288977,23714427, 418.9873962402
1494288558,36310427,1494288978,23751427, 419.9874267578
1494288558,36310427,1494288979,23788427, 420.9874877930
1494288558,36310427,1494288980,23826427, 421.9875183105
1494288558,36310427,1494288981,23877427, 422.9875793457
1494288558,36310427,1494288982,23903427, 423.9875793457
1494288558,36310427,1494288983,23935427, 424.9876098633
1494288558,36310427,1494288984,23975427, 425.9876708984
1494288558,36310427,1494288985,24012427, 426.9877014160
1494288558,36310427,1494288986,24043427, 427.9877319336
1494288558,36310427,1494288987,24080427, 428.9877624512
1494288558,36310427,1494288988,24118427, 429.9877929688
1494288558,36310427,1494288989,24152427, 430.9878540039
1494288558,36310427,1494288990,24189427, 431.9878845215
1494288558,36310427,1494288991,24225427, 432.9879150391
1494288558,36310427,1494288992,24262427, 433.9879455566
1494288558,36310427,1494288993,24304427, 434.9880065918
1494288558,36310427,1494288994,24334427, 435.9880371094
1494288558,36310427,1494288995,24378427, 436.9880676270
1494288558,36310427,1494288996,24408427, 437.9880981445
1494288558,36310427,1494288997,24444427, 438.9881286621
1494288558,36310427,1494288998,24482427, 439.9881591797
1494288558,36310427,1494288999,24534427, 440.9882202148
1494288558,36310427,1494289000,24563427, 441.9882507324
1494288558,36310427,1494289001,24596427, 442.9882812500
1494288558,36310427,1494289002,24633427, 443.9883117676
1494288558,36310427,1494289003,24666427, 444.9883422852
1494288558,36310427,1494289004,24706427, 445.9884033203
1494288558,36310427,1494289005,24742427, 446.9884338379
1494288558,36310427,1494289006,24779427, 447.9884643555
1494288558,36310427,1494289007,24820427, 448.9884948730
1494288558,36310427,1494289008,24853427, 449.9885559082
1494288558,36310427,1494289009,24888427, 450.9885864258
1494288558,36310427,1494289010,24925427, 451.9886169434
1494288558,36310427,1494289011,24961427, 452.9886474609
1494288558,36310427,1494289012,24993427, 453.9886779785
1494288558,36310427,1494289013,25036427, 454.9887390137
1494288558,36310427,1494289014,25072427, 455.9887695312
1494288558,36310427,1494289015,25107427, 456.9888000488
1494288558,36310427,1494289016,25144427, 457.9888305664
1494288558,36310427,1494289017,25181427, 458.9888610840
1494288558,36310427,1494289018,25217427, 459.9889221191
1494288558,36310427,1494289019,25253427, 460.9889526367
1494288558,36310427,1494289020,25289427, 461.9889831543
1494288558,36310427,1494289021,25326427, 462.9890136719
1494288558,36310427,1494289022,25364427, 463.9890441895
1494288558,36310427,1494289023,25400427, 464.9890747070
1494288558,36310427,1494289028,25577427, 469.9892578125
1494288558,36310427,1494289029,25613427, 470.9892883301
1494288558,36310427,1494289030,25651427, 471.9893493652
1494288558,36310427,1494289031,25688427, 472.9893798828
1494288558,36310427,1494289032,25726427, 473.9894104004
1494288558,36310427,1494289033,25765427, 474.9894409180
1494288558,36310427,1494289034,25801427, 475.9895019531
1494288558,36310427,1494289035,25831427, 476.9895324707
1494288558,36310427,1494289036,25868427, 477.9895629883
1494288558,36310427,1494289037,25911427, 478.9895935059
1494288558,36310427,1494289038,25946427, 479.9896240234
1494288558,36310427,1494289039,25979427, 480.9896545410
1494288558,36310427,1494289040,26011427, 481.9897155762
1494288558,36310427,1494289041,26055427, 482.9897460938
1494288558,36310427,1494289042,26093427, 483.9897766113
1494288558,36310427,1494289043,26120427, 484.9898071289
1494288558,36310427,1494289044,26165427, 485.9898681641
1494288558,36310427,1494289045,26201427, 486.9898986816
1494288558,36310427,1494289046,26233427, 487.9899291992
1494288558,36310427,1494289047,26269427, 488.9899597168
1494288558,36310427,1494289048,26311427, 489.9899902344
1494288558,36310427,1494289049,26342427, 490.9900207520
1494288558,36310427,1494289050,26380427, 491.9900817871
1494288558,36310427,1494289051,26414427, 492.9901123047
1494288558,36310427,1494289052,26451427, 493.9901428223
1494288558,36310427,1494289053,26492427, 494.9901733398
1494288558,36310427,1494289054,26523427, 495.9902038574
1494288558,36310427,1494289055,26560427, 496.9902648926
1494288558,36310427,1494289056,26596427, 497.9902954102
1494288558,36310427,1494289057,26635427, 498.9903259277
1494288558,36310427,1494289058,26671427, 499.9903564453
1494288558,36310427,1494289059,26706427, 500.9903869629
1494288558,36310427,1494289060,26741427, 501.9904174805
1494288558,36310427,1494289061,26784427, 502.9904785156
1494288558,36310427,1494289062,26816427, 503.9905090332
1494288558,36310427,1494289063,26851427, 504.9905395508
1494288558,36310427,1494289067,26995427, 508.9906921387
1494288558,36310427,1494289068,27032427, 509.9907226562
1494288558,36310427,1494289069,27069427, 510.9907531738
1494288558,36310427,1494289070,27104427, 511.9907836914
1494288558,36310427,1494289071,27143427, 512.9908447266
1494288558,36310427,1494289072,27180427, 513.9908447266
1494288558,36310427,1494289073,27214427, 514.9909057617
1494288558,36310427,1494289074,27252427, 515.9909667969
1494288558,36310427,1494289075,27286427, 516.9909667969
1494288558,36310427,1494289076,27323427, 517.9910278320
1494288558,36310427,1494289077,27361427, 518.9910278320
1494288558,36310427,1494289078,27410427, 519.9910888672
1494288558,36310427,1494289079,27433427, 520.9911499023
1494288558,36310427,1494289080,27470427, 521.9911499023
1494288558,36310427,1494289081,27524427, 522.9912109375
1494288558,36310427,1494289082,27560427, 523.9912719727
1494288558,36310427,1494289083,27580427, 524.9912719727
1494288558,36310427,1494289084,27630427, 525.9913330078
1494288558,36310427,1494289085,27653427, 526.9913330078
1494288558,36310427,1494289086,27707427, 527.9913940430
1494288558,36310427,1494289087,27743427, 528.9914550781
1494288558,36310427,1494289088,27762427, 529.9914550781
1494288558,36310427,1494289089,27798427, 530.9915161133
1494288558,36310427,1494289090,27851427, 531.9915161133
1494288558,36310427,1494289091,27889427, 532.9915771484
1494288558,36310427,1494289092,27912427, 533.9915771484
1494288558,36310427,1494289093,27941427, 534.9916381836
1494288558,36310427,1494289094,27980427, 535.9916992188
1494288558,36310427,1494289095,28016427, 536.9916992188
1494288558,36310427,1494289096,28066427, 537.9917602539
1494288558,36310427,1494289097,28088427, 538.9917602539
1494288558,36310427,1494289098,28125427, 539.9918212891
1494288558,36310427,1494289099,28179427, 540.9918823242
1494288558,36310427,1494289100,28216427, 541.9918823242
1494288558,36310427,1494289101,28236427, 542.9919433594
